wheel,timestamp,state
right,1588322447.66,0.790871270378
left,1588322447.66,0.785085322956
left,1588322447.67,0.785359864409
right,1588322447.67,0.791155607009
left,1588322447.68,0.785628758606
right,1588322447.68,0.791434057116
left,1588322447.69,0.785892107655
right,1588322447.69,0.791706735162
left,1588322447.7,0.78615001754
right,1588322447.7,0.791973760431
left,1588322447.71,0.786402614247
right,1588322447.71,0.792235253366
right,1588322447.72,0.792491321273
left,1588322447.72,0.786650002077
left,1588322447.73,0.786892275862
right,1588322447.73,0.792742070453
left,1588322447.74,0.78712953932
right,1588322447.74,0.792987613381
left,1588322447.75,0.787361905555
right,1588322447.75,0.793228056984
right,1588322447.76,0.79346350066
left,1588322447.76,0.787589465172
right,1588322447.77,0.793694044928
left,1588322447.77,0.787812308386
right,1588322447.78,0.793919791729
left,1588322447.78,0.788030537747
right,1588322447.79,0.794140837706
left,1588322447.79,0.788244245711
right,1588322447.8,0.79435727618
left,1588322447.8,0.788453517365
right,1588322447.81,0.794569202007
 left,1588322447.81,0.788658441162
right,1588322447.82,0.79477670487
 left,1588322447.82,0.788859112367
right,1588322447.83,0.794979874134
left,1588322447.83,0.789055607277
right,1588322447.84,0.795178797914
 left,1588322447.84,0.78924800816
right,1588322447.85,0.795373565832
left,1588322447.85,0.789436402601
left,1588322447.86,0.789620874493
right,1588322447.86,0.795564254732
left,1588322447.87,0.789801485186
right,1588322447.87,0.795750946802
left,1588322447.88,0.789978315173
right,1588322447.88,0.795933726406
left,1588322447.89,0.790151452422
right,1588322447.89,0.79611267891
left,1588322447.9,0.790320970836
right,1588322447.9,0.796287870309
left,1588322447.91,0.790486916936
right,1588322447.91,0.796459372792
left,1588322447.92,0.79064936646
right,1588322447.92,0.796627268406
right,1588322447.93,0.796791638895
left,1588322447.93,0.790808409155
right,1588322447.94,0.768520017298
left,1588322447.94,0.75932098122
right,1588322447.95,0.748621409638
left,1588322447.95,0.738169313592
right,1588322447.96,0.731309847984
left,1588322447.96,0.71892710387
right,1588322447.97,0.714224304255
left,1588322447.97,0.70048774005
right,1588322447.98,0.697324918534
left,1588322447.98,0.682320340517
right,1588322447.99,0.680609409711
left,1588322447.99,0.664467996774
right,1588322448.0,0.664078408192
left,1588322448.0,0.646912832722
right,1588322448.01,0.647734945353
left,1588322448.01,0.629638887703
right,1588322448.02,0.631576249208
left,1588322448.02,0.612644585719
right,1588322448.03,0.615599878034
left,1588322448.03,0.595926523176
right,1588322448.04,0.59980304233
left,1588322448.04,0.579483643646
right,1588322448.05,0.584179066604
left,1588322448.05,0.563255176553
right,1588322448.06,0.568720445987
left,1588322448.06,0.547216854908
right,1588322448.07,0.553424172308
